Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,137.09,137.28,134.52,134.52,134.52,4523000.00
2010-01-04,136.25,136.61,133.14,133.90,133.90,7599900.00
2010-01-05,133.43,135.48,131.81,134.69,134.69,8851900.00
2010-01-06,134.60,134.73,131.65,132.25,132.25,7178800.00
2010-01-07,132.01,132.32,128.80,130.00,130.00,11030200.00
2010-01-08,130.56,133.68,129.03,133.52,133.52,9830500.00
2010-01-11,132.62,132.80,129.21,130.31,130.31,8779400.00
2010-01-12,128.99,129.82,126.55,127.35,127.35,9096300.00
2010-01-13,127.90,129.71,125.75,129.11,129.11,10723200.00
2010-01-14,129.14,130.38,126.40,127.35,127.35,9774900.00
2010-01-15,129.18,129.65,127.06,127.14,127.14,15376500.00
2010-01-19,126.31,128.00,124.33,127.61,127.61,8892600.00
2010-01-20,127.13,129.20,125.08,125.78,125.78,9074700.00
2010-01-21,127.26,128.15,125.00,126.62,126.62,9970600.00
2010-01-22,125.60,127.67,120.76,121.43,121.43,11568900.00
2010-01-25,122.10,122.28,118.12,120.31,120.31,12023900.00
2010-01-26,120.56,122.98,119.06,119.48,119.48,9559000.00
2010-01-27,121.03,123.33,118.80,122.75,122.75,14765300.00
2010-01-28,124.43,127.20,122.80,126.03,126.03,27293100.00
2010-01-29,129.77,131.85,124.14,125.41,125.41,29471300.00
2010-02-01,123.18,124.86,113.82,118.87,118.87,37774400.00
2010-02-02,118.79,118.98,114.40,118.12,118.12,23079700.00
2010-02-03,117.12,119.61,116.56,119.10,119.10,12405900.00
2010-02-04,118.64,120.33,115.74,115.94,115.94,12784000.00
2010-02-05,115.88,117.65,114.10,117.39,117.39,11024800.00
2010-02-08,119.38,121.00,116.56,116.83,116.83,9890200.00
2010-02-09,118.20,119.09,117.00,118.03,118.03,9223000.00
2010-02-10,118.00,118.61,116.00,117.36,117.36,6233200.00
2010-02-11,117.21,120.42,116.50,120.09,120.09,8343500.00
2010-02-12,118.99,119.94,117.50,119.66,119.66,8073500.00
2010-02-16,120.06,120.50,117.18,117.53,117.53,8932700.00
2010-02-17,117.07,117.13,115.55,116.31,116.31,8944800.00
2010-02-18,115.84,118.51,114.82,118.08,118.08,9800100.00
2010-02-19,117.91,119.09,117.00,117.52,117.52,7115600.00
2010-02-22,117.37,118.97,116.18,118.01,118.01,6807300.00
2010-02-23,118.01,119.25,116.51,117.24,117.24,7068200.00
2010-02-24,117.96,119.80,117.15,119.72,119.72,7389900.00
2010-02-25,118.17,118.34,115.85,118.20,118.20,9533400.00
2010-02-26,117.88,119.43,117.00,118.40,118.40,5721600.00
2010-03-01,118.70,124.66,117.53,124.54,124.54,13296500.00
2010-03-02,125.01,127.35,124.80,125.53,125.53,12097500.00
2010-03-03,125.40,126.94,124.43,125.89,125.89,6440400.00
2010-03-04,125.98,128.85,125.57,128.53,128.53,7509700.00
2010-03-05,129.13,129.45,127.07,128.91,128.91,6769300.00
2010-03-08,128.30,130.85,127.71,130.11,130.11,5605900.00
2010-03-09,129.59,130.81,127.97,128.82,128.82,6070800.00
2010-03-10,129.11,131.17,128.48,130.51,130.51,5625700.00
2010-03-11,130.45,133.62,130.36,133.58,133.58,7240800.00
2010-03-12,134.20,134.20,131.18,131.82,131.82,6150800.00
2010-03-15,131.70,132.00,128.63,131.13,131.13,6329200.00
